구분,상품명,현재URL
링크탭_여행아이템,간사이 공항 픽드랍,https://inpk.link/api/r/-M2AWHQjbCvJfIJemuHXf-CocBjw-0u2heJ4yYlhAyLPsmUdNiFjNcWXEEV4M9IDS9bX0tPS8O8ZDpAXXxX0HIh9-C_22ZvmaLVO4USOmy3XVinExNP0P93bBg7gIEJgZV7z5BlfD2OF6Iw7krN5MMU8SRiG9bnIDMcSFbnB9sa4IIHxGKFqgCtf2leEm5b30L1KUIM79_ewKdWm-OXOc3KSBZg0MtkzhUSqjL2neBwJyDs
링크탭_여행아이템,오사카 가성비 럭스,https://inpk.link/api/r/beA03SsUua-1iuLureTbYmLjrF30CTGi02CSfEZCEDfH-TaZeJIP_GxSGUjZjBX7gBfd1e9wQFHJBEFR-YbAtEMcFnbBF667URNN1t5hSRWCVS7-nSb4D4YAwDVCHNEXCRFtbLIpaoZMhCLap98NaKfhpuYLqaG_H9V4PNT-bUPatQ-Cfkiz-kIAXlTwf7SCKZR46IhTzO85EqeD1OZBk9Fww2gTcjFTsWK5f3uQx82qJFEUUApNX-8MNDqtCTLI7O_h4d4xGX_Copsc-p4dQSbgeexqINbdewPFL5JsafPz4Fhj5miJEtJR
링크탭_여행아이템,오사카 무제한 교통,https://inpk.link/api/r/rUxkLiOZrLWIpCHUTLcadNzrwteK67Z8DJXtg_dyvmp03hFImFQasIGW9XohR0-08HT7Sy514r-HkiFXpGaGyUE9NP5IPGShwuKymNlcFnabVrNJZjUuDw3eKwtT0-vvtMIHSoi0YQ5I7LkLyYx_B3G5kxggEob-rAovK4ZryQpc8x8_gxpI60Jmmhp25-PaVuZTifm-KgKVPxbeBlac4XDMHZvoNtaWYGjCTTHlLtK29SnosWvCLNCcXn2G4kf1o1YUilp9UNFpwYjfJ6YffmdL4GTO4H9bqjukHHZoUEHTL_LIA4zjMHq_4IwF4qTVSonfEbyC7EKBjIKYcZu261EdMC2dTng_f0W4yB5pgSzD4mLBrMQk6CXBUgaYSHqdbAVGOO1r-DyL91c
링크탭_여행아이템,교토 당일 버스투어,https://inpk.link/api/r/CpITToJua9SRGqantvPOt8H-YA2hCvGu3LpqtZP29JUQpkJU8Zgur4X5J5SUuMwlbuOpCu_dWtt9o1YDdKhHiWohWu502mqA_qexjSLBCFkxdkK88jD_0SzTlobYIQDFpBSfkrcJAXIaNJ2vjovpk6tupfts1Byu2x9trbUrb5irp1ihmmEONIyiwXD5KEP9b0NK2svX73iYtWqyY5CCkyB90iOv_zzIg3bh
링크탭_여행아이템,BEB5 오키나와 리조트,https://inpk.link/api/r/yR19tqwfk9znGkSjEuMZOj5xGEQWnuxGmIIhWbhOvPQBJUbakWWI5v9wVDeDw7h3L2nyPsi6j0k_gx1h-acP4ItovVwEMTayQEI7kue07rvoN08GRfSiMT1ZRvxyTo3IRso4B6Yx0Ov3OefnpLOYHlLCvvSW
링크탭_여행아이템,대만 예스진지 투어,https://inpk.link/api/r/S9jmgQnHKjANldRnjvyu53Y0XYGsCegc53WcNwq7Mr8DbnA9RC_1zvfIrYTogTptpLEUkO0eXali8W3tuXCr6BEIAQuE0sU56rYZHeYIyACA4iGkwIqSsyrPUWAlbk6p7InnIH7NBS-AR4N1rJAwrn1NHrTb
링크탭_여행아이템,만능 이심 Saily,https://inpk.link/api/r/uZUT9vS3JIt6v66F8s_ZXLlL705Ne-_MfMyPDKlCyIXRC30ezgBowpaQKMZn8kVFGCF5WAYG6Utn1Nzl9RtFuifjVBSi76MtjlxuyBxIXuMhwESkXNElYRuylSdbAZgd4SA0-FuVFriHgtXWk1BxssM
링크탭_여행아이템,클룩 5% 할인코드,https://inpk.link/api/r/JagxH1s-ONH73iUFbVnjAQNrfgrfzCfCwTsExni-OEwSTHOVnnKCkNgjuhhpibQZ9UQN7k9vCmv9CreN7-RFF_WDzBmJaY-o3y1Kw84JRANERX7GA9EvuiXkjDLlccqozz_cRvFFvZZ9nu54q_cQ_ftGVGxSDuvjeM1iGkObzpYUXqyzT-WAluMAiVmVBQa0Tki2iqN_EHen8dAZTdd4CLo980GrpT7S_uKuViaiJDRivJYqWEwJMc2aiw5IDrvavw
링크탭_여행아이템,브랜든 세이플 플러스 가방,https://inpk.link/api/r/2MV0s81VrV3HY6Z-AcmqbyTe_zWCMOioF6l3a9AhjKkfgSus67m1swXFezDXZpwjbRuObN4cL24Zp1M8lf62-uWZNOYDGb39tX3Ib4zducYGJ6gmw6DeeYSQ9HY8gJFVonypE4y4cTQzmMpNA9CQIimJ28wqaHyXQw
링크탭_여행아이템,인스타360 플로우2 프로,https://inpk.link/api/r/kHeUN2QkZVLPKG24ZwQQeZ-Pj18p12fLWKArOUFqrBN_f6nNrRFeMn1ODY2-Jra6wLvX1k2-fyVtVJi2oHR0t61hmTppWIDtnEKgRWlfhG5r36ag9dMH7XhVwZX8i94KTXi8FgBFql01srBfpJBF6oLUVMZ6hGTKQBQZbA
링크탭_여행아이템,주파집 어댑터+콘센트,https://inpk.link/api/r/Qi9gXc95AWj-0pbMZVd7akB65RX1CSXiXabmtVGbZNC2hyn5_CzN8yZDFS0o_3p2Ijp-YNPXhgfp1YO7CHcUOiYVje2zp3tRMtYB5f44mpbecTqJA3M2aXgjKR4wgkNV7D0P74maPeMdDMxNFxDz7vOzoDrfGmLJDXhxsg
링크탭_여행아이템,듀벨 여행용 샤워기 필터,https://inpk.link/api/r/DbDQGtHxSHTfLjRUK3EWzwMAMnvbSxRDyoL8xqvXjyNxgkI2-HKWDhhAfCyg1r4nK1ANwS-2xM0T48SYeXGAlNADkK6WKnbWsd72JKjSZJzRdDEdF1S85Ff2ir7MBG8diyP-zkIRlN4OdwG3ZozQMonlWFyGsMSoioQZfg
필수템_코스,후쿠오카 산큐패스 2일권,https://myrealt.rip/90eGe5
필수템_코스,히타 자전거 투어,https://myrealt.rip/UWazb8
필수템_코스,후쿠오카 투어리스트 시티패스,https://myrealt.rip/90gJ2c
필수템_코스,일본 이심 (5일 2GB/일),https://www.myrealtrip.com
숙소,토요(도요)호텔,https://www.agoda.com/ko-kr/search?pcs=1&cid=1918022&hl=ko-kr&checkIn=2025-03-18&checkOut=2025-03-19&adults=2&rooms=1&selectedproperty=65782&city=16527&pslc=1&ds=QzyFS0MXWeknmeip
숙소,코코호텔,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1918022&hl=ko-kr&hid=9076868
숙소,코트호텔,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1918022&hl=ko-kr&hid=339715
숙소,더 라이블리 호텔,https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1918022&hl=ko-kr&hid=6496510
